lemma_slp1	example_slp1	example_sa	example_ru	example_work	example_passage	example_kind
sarvarasa	sarvarasa	sarvarasa	все соки	01_mahabharata-adiparva	1.171.17-20	translation
sarvaratnA	sarvaratna	sarvaratna	все драгоценные камни	05_ramayana-sundarakanda	38.54	translation
sarvaratna	sarvaratnAnAm	sarvaratnānām	всяческих драгоценных камней	01_mahabharata-adiparva	1.19.1-14	translation
sarvaratnamaya	sarvaratnamayam	sarvaratnamayam	созданный из всяческих самоцветов	03_mahabharata-aranyakaparva	3.170.1-5	translation
sarvaratnasamanvita	sarvaratnasamanvitam	sarvaratnasamanvitam	вернув все сокровища	03_mahabharata-aranyakaparva	3.61.86-90	translation
sarvartu	sarvartu	sarvartu	изобилует	05_mahabharata-udyogaparva	5.84.14-21	translation
sarvasAha	sarvasAha	sarvasāha	все поражающее	03_mahabharata-aranyakaparva	3.23.26-34	translation
sarvasAmAnya	sarvasAmAnya	sarvasāmānya	общая для всех	01_mahabharata-adiparva	1.126.19-20	translation
sarvasaMgraha	sarvasaNgraha	sarvasaṅgraha	всесильный	01_ramayana-balakanda	6.1	translation
sarvasaMsTA	sarvasaMsTa	sarvasaṃstha	всеохватывающем	shv-up	1.6	translation
sarvasaNgA	sarvasaNga	sarvasaṅga	от всех привязанностей	14_mahabharata-ashvamedhikaparva	14.46.52-55	translation
sarvasaha	sarvasaha	sarvasaha	все готовый претерпеть	14_mahabharata-ashvamedhikaparva	14.19.1-13	translation
sarvasamBava	sarvasamBava	sarvasambhava	возникновения всего	sankhya-karika	9.2	translation
sarvasamatA	sarvasamatAm	sarvasamatām	равнодушным ко всему	manavadharmashastra	12.125	translation
sarvasamfdDa	sarvasamfdDa	sarvasamṛddha	обильно всем наделен	05_ramayana-sundarakanda	23.15	translation
sarvasampanna	sarvasampanna	sarvasampanna	наделен всеми	02_mahabharata-sabhaparva	2.35.17-29	translation
sarvasenApati	sarvasenApati	sarvasenāpati	верховным военачальником	05_mahabharata-udyogaparva	5.154.10-14	translation
sarvasena	sarvasena	sarvasena	полном вооружении	01_rigveda	33.3	translation
sarvasidDArTa	sarvasidDArTa	sarvasiddhārtha	достигшие всех целей	09_mahabharata-shalyaparva	9.28.15-18	translation
sarvasidDi	sarvasidDi	sarvasiddhi	абсолютного совершенства	hatha-yoga-pradipika	4.74	translation
sarvasteyakft	sarvasteyakft	sarvasteyakṛt	нечестен во всем	manavadharmashastra	4.256	translation
sarvasva	sarvasva	sarvasva	имущество	manavadharmashastra	7.124	translation
sarvasvadaRqa	sarvasvadaRqa	sarvasvadaṇḍa	оштрафован на все имущество	manavadharmashastra	8.375	translation
sarvasvadakziRa	sarvasvadakziRam	sarvasvadakṣiṇam	в коем все раздается жрецам	raghuvamsha	4.85-88	translation
sarvasvahAra	sarvasvahAra	sarvasvahāra	лишения всей собственности	manavadharmashastra	9.242	translation
sarvasvaharaRa	sarvasvaharaRa	sarvasvaharaṇa	лишение всего	09_mahabharata-shalyaparva	9.55.15-22	translation
sarvatAti	sarvatAtA	sarvatātā	В полной мере	01_rigveda	94.15	translation
sarvatIrTa	sarvatIrTezu	sarvatīrtheṣu	во всех тиртхах	03_mahabharata-aranyakaparva	3.80.52-57	translation
sarvata	sarvata	sarvata	целиком	03_ramayana-aranyakanda	26.6	translation
sarvataHSrutimat	sarvataHSrutimat	sarvataḥśrutimat	с ушами во все стороны	06_mahabharata-bhishmaparva	6.35.13	translation
sarvataHpARipAda	sarvataHpARipAda	sarvataḥpāṇipāda	с руками и ногами, простертыми во все стороны	06_mahabharata-bhishmaparva	6.35.13	translation
sarvatantra	sarvatantra	sarvatantra	все учения	nyaya-bhashya	1.1.27	translation
sarvatantrasidDAnta	sarvatantrasidDAnta	sarvatantrasiddhānta	доктрина на основании всех учений	nyaya-bhashya	1.1.28	translation
sarvatanu	sarvatanU	sarvatanū	телом	05_atharvaveda	6.13	translation
sarvatas	sarvataH	sarvataḥ	со всех сторон	01_mahabharata-adiparva	1.16.6-26	translation
sarvatejomaya	sarvatejomaya	sarvatejomaya	преисполнен всяческой энергии	manavadharmashastra	7.11	translation
sarvatoBadra	sarvatoBadra	sarvatobhadra	дивной красоты	03_mahabharata-aranyakaparva	3.62.1-5	translation
sarvatoDAra	sarvatoDAra	sarvatodhāra	со всех сторон снабженное острыми краями	07_mahabharata-dronaparva	7.120.83-89	translation
sarvatodiSam	sarvatodiSam	sarvatodiśam	по всему свету	03_mahabharata-aranyakaparva	3.65.1-5	translation
sarvatogAmin	sarvatogAmin	sarvatogāmin	не имеет предела	kumarasambhava	3.12	translation
sarvatomuKa	sarvatomuKAt	sarvatomukhāt	всюду распространяющийся	01_mahabharata-adiparva	1.76.22	translation
sarvatra	sarvatra	sarvatra	вездесущий	01_mahabharata-adiparva	1.1.27-35	translation
sarvatraga	sarvatragaH	sarvatragaḥ	всепроникающий	06_mahabharata-bhishmaparva	6.31.6	translation
sarvatragata	sarvatragata	sarvatragata	предела	03_mahabharata-aranyakaparva	3.51.14	translation
sarvavIra	sarvavIra	sarvavīra	Все мужи	01_rigveda	51.15	translation
sarvavarRa	sarvavarRAnAm	sarvavarṇānām	для всех варн	manavadharmashastra	5.146	translation
sarvaveda	sarvaveda	sarvaveda	всюду в Ведах	03_mahabharata-aranyakaparva	3.134.12	translation
sarvavedas	sarvavedas	sarvavedas	все имущество	09_atharvaveda	5.17	translation
sarvavedasa	sarvavedasa	sarvavedasa	все достояние	nyaya-bhashya	4.1.61	translation
sarvavedasadakziRa	sarvavedasadakziRa	sarvavedasadakṣiṇa	за которую отдается все имущество	manavadharmashastra	6.38	translation
sarvavid	sarvavid	sarvavid	всеведущ	12_mahabharata-shantiparva	12.1.35-44	translation
sarvavidyA	sarvavidyA	sarvavidyā	всех знаний	manavadharmashastra	12.85	translation
sarvavijYAna	sarvavijYAna	sarvavijñāna	всех познаний	nyaya-bhashya	2.1.29	translation
sarvavikrayin	sarvavikrayin	sarvavikrayin	торгующий всякими предметами	manavadharmashastra	2.118	translation
sarvavinASa	sarvavinASa	sarvavināśa	гибели	01_ramayana-balakanda	75.9	translation
sarvavizaya	sarvavizaya	sarvaviṣaya	объекты безграничны	nyaya-bhashya	1.1.9	translation
sarvavyApin	sarvavyApin	sarvavyāpin	всепроникающее	14_mahabharata-ashvamedhikaparva	14.36.1-10	translation
sarvavyApitva	sarvavyApitva	sarvavyāpitva	вездесущности	vedartha-samgraha_ramanuja	101	translation
sarvayajYa	sarvayajYa	sarvayajña	при любом жертвоприношении	03_mahabharata-aranyakaparva	3.134.14	translation
sarvayatna	sarvayatna	sarvayatna	со всем старанием	manavadharmashastra	7.175	translation
sarvayoni	sarvayonizu	sarvayoniṣu	Среди всех лон	gitarthasamgraha-abhinavagupta	14.4	translation
sarvayozit	sarvayozitAm	sarvayoṣitām	из женщин	03_mahabharata-aranyakaparva	3.1.1-7	translation
sarveSa	sarveSa	sarveśa	владыка всего	07_mahabharata-dronaparva	7.59.8-13	translation
sarveSvara	sarveSvara	sarveśvara	Всевладыка	gitarthasamgraha-abhinavagupta	11.40	translation
sarveSvaratva	sarveSvaratva	sarveśvaratva	всевластие	vedartha-samgraha_ramanuja	10	translation
sarvottama	sarvottama	sarvottama	лучшей	devi-gita	8.14	translation
sarzapa	sarzapa	sarṣapa	зерен горчицы	manavadharmashastra	8.134	translation
sarzigaRa	sarzigaRa	sarṣigaṇa	сонмы риши	01_ramayana-balakanda	36.19	translation
sas	sastAm	sastām	Пусть спят	01_rigveda	29.3	translation
sasAdi	sasAdIn	sasādīn	со всадниками	08_mahabharata-karnaparva	8.53.1-14	translation
sasAgara	sasAgarA	sasāgarā	с ее морями	01_mahabharata-adiparva	1.32.18-19	translation
sasAraTi	sasAraTim	sasārathim	вместе с возницей	07_mahabharata-dronaparva	7.66.7-13	translation
sasIta	sasItam	sasītam	Ситу	02_ramayana-ayodhyakanda	44.24	translation
sasTURa	sasTURa	sasthūṇa	со столбом	br-up	2.2.1	translation
sasUta	sasUtam	sasūtam	с возничим	03_mahabharata-aranyakaparva	3.120.10-15	translation
sasa	sasena	sasena	с урожаем	01_rigveda	51.3	translation
sasaMDya	sasanDya	sasandhya	вечернее	01_mahabharata-adiparva	1.125.8-15	translation
sasaMSaya	sasaMSaya	sasaṃśaya	в котором нет уверенности	05_ramayana-sundarakanda	30.35	translation
sasaMgraha	sasaNgraha	sasaṅgraha	вместе с тайными заклинаниями	07_mahabharata-dronaparva	7.78.16-20	translation
sasaMhAra	sasaMhArARi	sasaṃhārāṇi	вместе с заклятиями для возвращения	03_mahabharata-aranyakaparva	3.45.1-4	translation
sasaMjYa	sasaYjYA	sasañjñā	Сохраняли присутствие духа	01_ramayana-balakanda	74.16	translation
sasaNga	sasaNgam	sasaṅgam	любимым	08_mahabharata-karnaparva	8.67.25-27	translation
sasaciva	sasaciva	sasaciva	вместе с советниками	01_mahabharata-adiparva	1.67.30-31	translation
sasahAya	sasahAya	sasahāya	со всеми своими спутниками	03_mahabharata-aranyakaparva	3.257.2-10	translation
sasamBrama	sasamBrama	sasambhrama	в растерянности	05_ramayana-sundarakanda	54.42	translation
sasaptaka	sasaptaka	sasaptaka	шестьдесят семь раз	vedanga_jyotisha	1.18	translation
sasarpa	sasarpe	sasarpe	со змеями	05_mahabharata-udyogaparva	5.62.20-26	translation
sasarparI	sasarparI	sasarparī	Сасарпари	03_rigveda	53.15	translation
sasattvA	sasattva	sasattva	населенные живыми существами	manavadharmashastra	4.47	translation
sasena	sasenA	sasenā	в сопровождении войск	07_mahabharata-dronaparva	7.102.65-71	translation
sasmita	sasmita	sasmita	с улыбкой	02_ramayana-ayodhyakanda	3.38	translation
sasneha	sasneham	sasneham	с любовью	02_ramayana-ayodhyakanda	45.5	translation
sasni	sasnim	sasnim	захватывающего	10_rigveda	38.4	translation
sasoma	sasoma	sasoma	с луной	raghuvamsha	11.63-66	translation
saspfha	saspfham	saspṛham	с тоской	raghuvamsha	13.30-32	translation
sasra	sasrA	sasrā	текущих	10_rigveda	64.8	translation
sasri	sasriH	sasriḥ	бегущий	10_rigveda	99.4	translation
sasrut	sasrutaH	sasrutaḥ	слились	01_rigveda	141.1	translation
sastrIka	sastrIka	sastrīka	с женщинами	05_mahabharata-udyogaparva	5.92.20-26	translation
sasuhfd	sasuhfdam	sasuhṛdam	в кругу друзей	02_ramayana-ayodhyakanda	44.27	translation
sasuhfjjana	sasuhfjjanam	sasuhṛjjanam	с его близкими	05_ramayana-sundarakanda	36.27	translation
sasura	sasura	sasura	с богами	07_mahabharata-dronaparva	7.32.5-14	translation
sasuta	sasutA	sasutā	с ее сыном	01_mahabharata-adiparva	1.32.8-12	translation
sasvana	sasvanA	sasvanā	с шумом	01_mahabharata-adiparva	1.26.14-27	translation
sasvar	sasvar	sasvar	тайно	01_rigveda	88.5	translation
sasvara	sasvaram	sasvaram	громко	02_ramayana-ayodhyakanda	30.22	translation
sasvartA	sasvartA	sasvartā	тайно	07_rigveda	58.5	translation
sasvedA	sasveda	sasveda	пот	05_ramayana-sundarakanda	18.16	translation
sasya	sasyam	sasyam	поле	02_ramayana-ayodhyakanda	12.13	translation
sasyahan	sasyahA	sasyahā	губитель урожая	08_mahabharata-karnaparva	8.15.11-18	translation
sasyamAlin	sasyamAlin	sasyamālin	земли	01_ramayana-balakanda	32.10	translation
sasyaprada	sasyaprada	sasyaprada	плодоносную	manavadharmashastra	7.212	translation
sat	satAm	satām	пожирателей	01_atharvaveda	8.4	translation
satI	satI	satī	будучи	02_ramayana-ayodhyakanda	7.8	translation
satInakaNkata	satInakaNkata	satīnakaṅkata	настоящий канката	01_rigveda	191.1	translation
satInasatvan	satInasatva	satīnasatva	настоящие воины	01_rigveda	100.1	translation
satItva	satItva	satītva	верность	shukasaptati	5.24	translation
satIya	satIyam	satīyam	са-ти-ям	ch-up	8.3.5	translation
satUrya	satUrya	satūrya	сопровождаемые музыкой	kat-up	1.1.25	translation
sata	sataH	sataḥ	когда	03_mahabharata-aranyakaparva	3.10.16	translation
satalatra	satalatra	satalatra	с рукавицами	06_mahabharata-bhishmaparva	6.92.56-65	translation
satas	sataH	sataḥ	когда	03_mahabharata-aranyakaparva	3.10.16	translation
satata	satataM	satataṃ	постоянно	01_mahabharata-adiparva	1.1.198-207	translation
satataga	satatagaH	satatagaḥ	ветер	01_mahabharata-adiparva	1.137.17-23	translation
satatagati	satatagati	satatagati	вѣтромъ	megha-duta	2.6	translation
satatam	satataM	satataṃ	постоянно	01_mahabharata-adiparva	1.1.198-207	translation
satatayAyin	satatayAyin	satatayāyin	постоянно движущемся	manavadharmashastra	1.50	translation
satatayukta	satatayukta	satatayukta	навечно сопряженным	06_mahabharata-bhishmaparva	6.32.10	translation
satatotTita	satatotTita	satatotthita	неустанно стремится	03_mahabharata-aranyakaparva	3.206.9-14	translation
satfzRa	satfzRa	satṛṣṇa	жаждой	buddhacharita	11.10	translation
satkArArha	satkArArhA	satkārārhā	заслужившая почитания	02_ramayana-ayodhyakanda	12.70	translation
satkAra	satkAra	satkāra	услужающим	02_ramayana-ayodhyakanda	99.13	translation
satkArya	satkArya	satkārya	следствие существует [уже в причине]	sankhya-karika	8.2	translation
satkAryavAda	satkAryavAda	satkāryavāda	саткарьявады	vedartha-samgraha_ramanuja	36	translation
satkarman	satkarman	satkarman	благими деяниями	03_mahabharata-aranyakaparva	3.221.24-26	translation
satkartavya	satkartavya	satkartavya	добром воздавать	03_mahabharata-aranyakaparva	3.239.1-8	translation
satkavi	satkavi	satkavi	поэтами	shatakatrayam	2.83	translation
satkf	satkfta	satkṛta	добродетельная	01_mahabharata-adiparva	1.1.109-124	translation
satkfta	satkftaM	satkṛtaṃ	почтительно встречают	03_mahabharata-aranyakaparva	3.135.12-18	translation
satkfti	satkftim	satkṛtim	для оказания гостеприимства	05_mahabharata-udyogaparva	5.36.30-40	translation
satkriyA	satkriyAm	satkriyām	почетом	02_ramayana-ayodhyakanda	119.15	translation
satoraRa	satoraRA	satoraṇā	воротах	03_mahabharata-aranyakaparva	3.16.5-23	translation
satovIra	satovIra	satovīra	поистине мужественные	06_rigveda	75.9	translation
satpaTa	satpaTa	satpatha	стезя долга	02_ramayana-ayodhyakanda	31.10	translation
satpati	satpati	satpati	Господина	01_rigveda	11.1	translation
satpratigraha	satpratigraha	satpratigraha	получение милостыни от добродетельных	manavadharmashastra	10.115	translation
satpuruza	satpuruza	satpuruṣa	Благородный	02_ramayana-ayodhyakanda	2.29	translation
satputra	satputra	satputra	сын	manavadharmashastra	9.154	translation
satrA	satrA	satrā	один	01_rigveda	57.6	translation
satrAc	satrAcA	satrācā	устремленным к одной цели	08_rigveda	2.37	translation
satrAdAvan	satrAdAvan	satrādāvan	дающий сполна	01_rigveda	7.6	translation
satrAha	satrAham	satrāham	Поражает насмерть	05_rigveda	35.4	translation
satrAhan	satrAhA	satrāhā	убивает наповал	06_rigveda	46.3	translation
satrAjit	satrAjito	satrājito	побеждающие	08_rigveda	3.15	translation
satrAjita	satrAjito	satrājito	побеждающие	08_rigveda	3.15	translation
satrAkara	satrAkara	satrākara	очень деятельный	01_rigveda	178.4	translation
satrAsAh	satrAzAq	satrāṣāḍ	полностью покоряющий	07_rigveda	20.3	translation
satrAsAha	satrAsAhaM	satrāsāhaṃ	Всегда побеждающего	03_rigveda	34.8	translation
satrapa	satrapA	satrapā	находить удовольствие	gitagovinda	12.14	translation
satsaMgati	satsaNgati	satsaṅgati	общение с праведным	shatakatrayam	1.19	translation
sattA	sattA	sattā	садящийся	09_rigveda	86.6	translation
sattAmAtra	sattAmAtra	sattāmātra	только бытие	yoga-sutry_vyasa-bhashya	2.19	translation
sattama	sattamAH	sattamāḥ	превосходнейшие	01_mahabharata-adiparva	1.2.2-12	translation
sattf	sattA	sattā	садящийся	09_rigveda	86.6	translation
sattrAyaRa	sattrAyaRa	sattrāyaṇa	саттраяной	ch-up	8.5.2	translation
sattra	satra	satra	жертвоприношения	01_mahabharata-adiparva	1.1.15-19	translation
sattrasadya	sattrasadyena	sattrasadyena	саттрасадья	09_atharvaveda	6.42	translation
sattrin	sattriRAm	sattriṇām	для занятых в жертвоприношении саттра	manavadharmashastra	5.93	translation
sattvAnurUpa	sattvAnurUpA	sattvānurūpā	соответствующей сущности его	06_mahabharata-bhishmaparva	6.39.3	translation
sattva	eva	eva	именно	01_mahabharata-adiparva	1.2.2-12	translation
sattvaSIla	sattvaSIlo	sattvaśīlo	Саттвашила	shukasaptati	52.2	translation
sattvaguRa	sattvaguRA	sattvaguṇā	свойства саттвы	14_mahabharata-ashvamedhikaparva	14.38.15	translation
sattvarASi	sattvarASi	sattvarāśi	ношею убитых им животных	raghuvamsha	15.14-17	translation
sattvasTa	sattvasTA	sattvasthā	пребывающие во истовости	06_mahabharata-bhishmaparva	6.36.18	translation
sattvasaMSudDi	sattvasaMSudDi	sattvasaṃśuddhi	чистота истовости	06_mahabharata-bhishmaparva	6.38.1	translation
sattvasamAvizwa	sattvasamAvizwa	sattvasamāviṣṭa	истовости исполненный	06_mahabharata-bhishmaparva	6.40.10	translation
sattvasampanna	sattvasampanna	sattva sampanna	светлый разумом	02_ramayana-ayodhyakanda	78.2	translation
sattvavat	sattvavAn	sattvavān	добродетельный	02_ramayana-ayodhyakanda	106.33	translation
sattvaviplava	sattvaviplava	sattvaviplava	бесчувственную	raghuvamsha	8.38-43	translation
satvan	satvAna	satvāna	воины	01_rigveda	64.2	translation
satvana	satvanaM	satvanaṃ	воину	10_rigveda	115.4	translation
satvara	satvara	satvara	не медля	02_ramayana-ayodhyakanda	19.11	translation
satvat	satvati	satvati	Сатвати	02_mahabharata-sabhaparva	2.35.6-17	commentary
satvata	satvata	satvata	сатватов	06_mahabharata-bhishmaparva	6.86.71-86	commentary
satyA	satye	satye	на правде	02_ramayana-ayodhyakanda	14.7	translation
satyABisaMDa	satyABisanDa	satyābhisandha	преданный правде	01_ramayana-balakanda	6.5	translation
satyAnfta	satyAnfta	satyānṛta	сатьянритой	manavadharmashastra	4.4	translation
satyAtman	satyAtman	satyātman	атман	buddhacharita	12.76	translation
satyAvan	satyAvAnam	satyāvānam	благочестивого	04_atharvaveda	29.1	translation
satya	satya	satya	сбываются	01_atharvaveda	10.1	translation
satyaBAmA	satyaBAmA	satyabhāmā	Сатьябхама	03_mahabharata-aranyakaparva	3.180.8-13	translation
satyaBUya	satyaBUyam	satyabhūyam	природу правды	br-up	5.5.1	translation
satyaDarma	satyaDarme	satyadharme	истинной дхарме	05_ramayana-sundarakanda	33.23	translation
satyaDarman	satyaDarman	satyadharman	Чьи законы непреложны	01_rigveda	12.7	translation
satyaDarmaparAyaRa	satyaDarmaparAyaRa	satyadharmaparāyaṇa	воплощает в себе правду	02_ramayana-ayodhyakanda	2.29	translation
satyaDfti	satyaDfti	satyadhṛti	преданный истине	02_ramayana-ayodhyakanda	104.32	translation
satyaDvft	satyaDvftam	satyadhvṛtam	Исказителя истины	10_rigveda	27.1	translation
satyaMkAra	satyaNkAra	satyaṅkāra	договор	shukasaptati	35.1	translation
satyaSIla	satyaSIla	satyaśīla	благой	02_ramayana-ayodhyakanda	54.37	translation
satyaSavas	satyaSavas	satyaśavas	чья сила истинна	01_rigveda	86.8	translation
satyaSravas	satyaSravas	satyaśravas	Сатьяшраваса	07_mahabharata-dronaparva	7.44.1-8	translation
satyaSuzma	satyaSuzma	satyaśuṣma	Чей пыл истинен	01_rigveda	51.15	translation
satyagirvAhas	satyagirvAhasam	satyagirvāhasam	отвозящего истинные песни	01_rigveda	127.8	translation
satyajit	satyajit	satyajit	Сатьяджит	07_mahabharata-dronaparva	7.16.44-45	translation
satyakAma	satyakAmaH	satyakāmaḥ	Сатьякама	ch-up	4.4.1	translation
satyakIrti	satyakIrti	satyakīrti	Сатьякирти	01_ramayana-balakanda	28.4	translation
satyaka	satyaka	satyaka	Сатьяка	01_mahabharata-adiparva	1.57.88-94	translation
satyakarman	satyakarman	satyakarman	справедливого в своих деяниях	07_mahabharata-dronaparva	7.9.29-38	translation
satyaloka	satyaloka	satyaloka	Сатьялоки	devi-gita	3.26	translation
satyamanman	satyamanmA	satyamanmā	истинен помыслами	01_rigveda	73.2	translation
satyamantra	satyamantrA	satyamantrā	чьи молитвы истинны	01_rigveda	20.4	translation
satyanAma	satyanAmAm	satyanāmām	необоримой	01_ramayana-balakanda	6.28	translation
satyanAman	satyanAmA	satyanāmā	Необоримый	01_ramayana-balakanda	6.26	translation
satyapASa	satyapASena	satyapāśena	пленник своего слова	02_ramayana-ayodhyakanda	34.30	translation
satyapUta	satyapUta	satyapūta	очищенную истиной	manavadharmashastra	6.46	translation
satyaparAkrama	satyaparAkrama	satyaparākrama	Правдолюбивый, могучий	02_ramayana-ayodhyakanda	2.28	translation
satyapratiSrava	satyapratiSrava	satyapratiśrava	преданный истине	01_ramayana-balakanda	11.2	translation
satyapratijYa	satyapratijYa	satya pratijña	верным своему слову	02_ramayana-ayodhyakanda	26.21	translation
satyarADas	satyarADas	satyarādhas	истинно дарящий	01_rigveda	101.8	translation
satyaraTA	satyaraTa	satyaratha	Сатьяратха	07_mahabharata-dronaparva	7.16.17-21	translation
satyasAkzin	satyasAkzin	satyasākṣin	свидетельствующие истину	manavadharmashastra	8.257	translation
satyasaMDa	satyasanDa	satyasandha	правдивый	01_mahabharata-adiparva	1.1.109-124	translation
satyasaMgara	satyasaNgara	satyasaṅgara	верный обету	01_mahabharata-adiparva	1.4.12-15	translation
satyasaMkalpa	satyasaNkalpa	satyasaṅkalpa	исполняющего произволенье	ramanuja_gitabhashya	9.10	translation
satyasava	satyasava	satyasava	Чье побуждение истинно	10_rigveda	36.13	translation
satyasena	satyasenaH	satyasenaḥ	Сатьясена	08_mahabharata-karnaparva	8.4.98-105	translation
satyatA	satyatA	satyatā	честности	01_mahabharata-adiparva	1.1.59-60	translation
satyatAti	satyatAtA	satyatātā	стремлению к истине	10_rigveda	111.4	translation
satyatara	satyatara	satyatara	самый истинный	01_rigveda	76.5	translation
satyatva	satyatvasya	satyatvasya	существование	gitarthasamgraha-abhinavagupta	8.3	translation
satyavAc	satyavAk	satyavāk	правдоречивый	01_mahabharata-adiparva	1.11.1-11	translation
satyavAda	satyavAda	satya vāda	исполняя слово	02_ramayana-ayodhyakanda	107.8	translation
satyavAdin	satyavAdin	satyavādin	правдив	01_mahabharata-adiparva	1.5.7-9	translation
satyavAha	satyavAha	satyavāha	Сатьявахе	mun-up	1.1.2	translation
satyavAkya	satyavAkya	satyavākya	правдоречивостью	05_ramayana-sundarakanda	55.28	translation
satyavacana	satyavacana	satyavacana	правдивость в речи	01_mahabharata-adiparva	1.11.12-17	translation
satyavacas	satyavacas	satyavacas	Сатьявачас	tai-up	1.9.1	translation
satyavant	satyavant	satyavant	Сатьявану	02_ramayana-ayodhyakanda	30.6	translation
satyavarman	satyavarman	satyavarman	Сатьяварман	07_mahabharata-dronaparva	7.16.17-21	translation
satyavartman	satyavartman	satyavartman	с правильным путем	04_atharvaveda	29.7	translation
satyavat	satyavAn	satyavān	Правдивого	03_ramayana-aranyakanda	4.2	translation
satyavatI	satyavatI	satyavatī	Сатьявати	01_ramayana-balakanda	34.7	translation
satyavatIsuta	satyavatIsuta	satyavatīsuta	сын Сатьявати	01_mahabharata-adiparva	1.1.52-55	translation
satyavikrama	satyavikrama	satyavikrama	преданный только истине	02_ramayana-ayodhyakanda	100.7	translation
satyavrata	satyavrata	satyavrata	верный слову	05_ramayana-sundarakanda	28.11	translation
satyavrataparAyaRa	satyavrataparAyaRA	satyavrataparāyaṇā	верна обету истины	02_ramayana-ayodhyakanda	26.37	translation
satyayaj	satyayajam	satyayajam	истинно жертвующего	04_rigveda	3.1	translation
satyayajYa	satyayajYa	satyayajña	Сатьяяджня	ch-up	5.11.1	translation
satyodaka	satyodakA	satyodakā	правда — ее воды	05_mahabharata-udyogaparva	5.40.17-22	translation
satyopayAcana	satyopayAcana	satyopayācana	Исполняющего желания	02_ramayana-ayodhyakanda	68.16	translation
savAcas	savAcasaH	savācasaḥ	одной речи	07_atharvaveda	13.2	translation
savAsas	savAsas	savāsas	в одежде	manavadharmashastra	5.78	translation
savAsin	savAsin	savāsin	двое, живущие вместе	02_atharvaveda	29.6	translation
savIman	savIman	savīman	побуждение	10_rigveda	36.12	translation
sava	savAya	savāya	по побуждению	01_rigveda	113.1	translation
savana	savana	savana	лес	01_mahabharata-adiparva	1.16.6-26	translation
savarRA	savarRA	savarṇā	его варны	manavadharmashastra	3.12	translation
savarRABa	savarRABA	savarṇābhā	цвета	03_ramayana-aranyakanda	23.9	translation
savarRa	savarRa	savarṇa	той же варны	manavadharmashastra	2.132	translation
savarUTa	savarUTa	savarūtha	с предохранительными щитами	09_mahabharata-shalyaparva	9.13.18-24	translation
savarman	savarman	savarman	в кольчугах	01_mahabharata-adiparva	1.96.14-24	translation
savat	savAn	savān	выжиманий	01_rigveda	126.1	translation
savatsa	savatsA	savatsā	с теленком	03_mahabharata-aranyakaparva	3.82.76-78	translation
savayas	savayasA	savayasā	Две одинаково сильные	01_rigveda	144.3	translation
savedas	savedasA	savedasā	вместе владеющие (жертвой)	01_rigveda	93.9	translation
savepaTu	savepaTu	savepathu	шатаясь	01_mahabharata-adiparva	1.127.1-8	translation
savfD	savfDaH	savṛdhaḥ	выросшие вместе	10_rigveda	30.10	translation
savfzaRa	savfzaRa	savṛṣaṇa	имеет яйца	01_ramayana-balakanda	49.6	translation
saviBrama	saviBramA	savibhramā	красота	shatakatrayam	1.94	translation
saviSeza	saviSezam	saviśeṣam	с силами	03_mahabharata-aranyakaparva	3.163.31-36	translation
saviSezaka	saviSezaka	saviśeṣaka	особому	kama-sutra	4.2.24	translation
savicAra	savicArA	savicārā	савичара	yoga-sutry	1.44	translation
savid	savit	savit	Знающий	mai-up	6.35	commentary
savidya	savidya	savidya	обладая ею	01_mahabharata-adiparva	1.71.46-48	translation
savidyut	savidyut	savidyut	с молниями	05_ramayana-sundarakanda	3.5	translation
savidyuta	savidyuta	savidyuta	пронизанных молниями	01_mahabharata-adiparva	1.16.6-26	translation
savidyutstanita	savidyutstanita	savidyutstanita	испускавшими гром и молнии	01_mahabharata-adiparva	1.126.21-33	translation
savigraha	savigraha	savigraha	схватку	09_mahabharata-shalyaparva	9.56.16-20	translation
savijYAna	savijYAna	savijñāna	вместе с познанием	06_mahabharata-bhishmaparva	6.29.2	translation
savikAra	savikAra	savikāra	с производными от него	06_mahabharata-bhishmaparva	6.35.6	translation
savikalpaka	savikalpaka	savikalpaka	определенном восприятии	vedartha-samgraha_ramanuja	30	translation
savilAsa	savilAsAn	savilāsān	в упоении	03_mahabharata-aranyakaparva	3.155.53-62	translation
savinaya	savinaya	savinaya	скромно	shatakatrayam	3.76	translation
savismaya	savismaya	savismaya	изумлен	05_ramayana-sundarakanda	7.15	translation
savistara	savistara	savistara	бесчисленны	01_mahabharata-adiparva	1.1.39-48	translation
savitarka	savitarka	savitarka	полное размышлений	buddhacharita	5.10	translation
savitf	savitf	savitṛ	Савитар	01_atharvaveda	18.2	translation
savitrI	savitrI	savitrī	роженица	kumarasambhava	1.24	translation
savitta	savitta	savitta	богатый	kama-sutra	6.1.10	translation
savizARa	savizARa	saviṣāṇa	огромная голова слона	03_ramayana-aranyakanda	2.7	translation
saviza	saviza	saviṣa	ядовитыми	05_ramayana-sundarakanda	1.20	translation
savrIqa	savrIqa	savrīḍa	Пристыженный	01_ramayana-balakanda	55.8	translation
savrata	savrata	savrata	имеющие общий обет	10_rigveda	65.8	translation
savyAhftipraRavaka	savyAhftipraRavaka	savyāhṛtipraṇavaka	"сопровождаемых [произнесением] священных слов и слога ""Ом"""	manavadharmashastra	11.249	translation
savyApAra	savyApAra	savyāpāra	действующие	yoga-sutry_vyasa-bhashya	3.14	translation
